component,value,count
geometry,0.289,269
geometry,0.29,231
geometry,0.291,281
geometry,0.292,250
geometry,0.293,280
geometry,0.294,273
geometry,0.295,275
geometry,0.296,256
geometry,0.297,267
geometry,0.298,266
geometry,0.299,270
geometry,0.3,270
geometry,0.301,295
geometry,0.302,254
geometry,0.303,278
geometry,0.304,274
geometry,0.305,271
geometry,0.306,233
geometry,0.307,241
geometry,0.308,285
geometry,0.309,282
geometry,0.31,272
geometry,0.311,266
geometry,0.312,254
geometry,0.313,264
geometry,0.314,292
geometry,0.315,277
geometry,0.316,210
geometry,0.317,246
geometry,0.318,283
geometry,0.319,297
geometry,0.32,279
geometry,0.321,277
geometry,0.322,285
geometry,0.323,266
geometry,0.324,258
geometry,0.325,251
geometry,0.326,296
geometry,0.327,255
geometry,0.328,278
geometry,0.329,252
geometry,0.33,263
geometry,0.331,277
geometry,0.332,293
geometry,0.333,260
geometry,0.334,254
geometry,0.335,270
geometry,0.336,257
geometry,0.337,237
geometry,0.338,263
geometry,0.339,277
geometry,0.34,264
geometry,0.341,251
geometry,0.342,259
geometry,0.343,280
geometry,0.344,229
geometry,0.345,268
geometry,0.346,278
geometry,0.347,277
geometry,0.348,290
geometry,0.349,266
geometry,0.35,246
geometry,0.351,245
geometry,0.352,239
geometry,0.353,260
geometry,0.354,279
geometry,0.355,279
geometry,0.356,252
geometry,0.357,254
geometry,0.358,271
geometry,0.359,255
geometry,0.36,257
geometry,0.361,285
geometry,0.362,249
geometry,0.363,306
geometry,0.364,228
geometry,0.365,237
geometry,0.366,254
geometry,0.367,264
geometry,0.368,270
geometry,0.369,254
geometry,0.37,256
geometry,0.371,263
geometry,0.372,240
geometry,0.373,269
geometry,0.374,271
geometry,0.375,247
geometry,0.376,247
geometry,0.377,269
geometry,0.378,253
geometry,0.379,295
geometry,0.38,254
geometry,0.381,268
geometry,0.382,273
geometry,0.383,227
geometry,0.384,279
geometry,0.385,282
geometry,0.386,257
geometry,0.387,246
geometry,0.388,265
geometry,0.389,265
geometry,0.39,245
geometry,0.391,240
geometry,0.392,256
geometry,0.393,240
geometry,0.394,255
geometry,0.395,238
geometry,0.396,236
geometry,0.397,239
geometry,0.398,256
geometry,0.399,247
geometry,0.4,270
geometry,0.401,257
